name;price;info;link;Серия:;"Размер прямоугольного корпуса, мм:";"Наличие на складе г. Смоленск:";"Глубина щели, мм:";Комплектация:;Корпус:;"Материал корпуса:";"Напряжение питания, В:";"Принцип действия:";"Резьба разъема:";Соединение:;Тип:;"Тип выходного сигнала:";"Тип света:";"Функция переключения:";"Частота переключения, Гц:";"Ширина щели, мм:";"Число контактов, pin:";"Страна происхождения:";"Температура эксплуатации Max, °C:";"Температура эксплуатации Min, °C:";"Сертификат соответствия:";"Вес, грамм:";"Защита от переполюсовки:";Индикация:;"Степень защиты:";"Минимальный диаметр объекта, мм:";"Длина волны, нм:";Особенности:;"Температура эксплуатации, °C:";"Потребление тока, мА:";"Влажность окружающей среды:";"Время отклика, мс:";"Длина кабеля, м:";"Защита от короткого замыкания:";"Защита от перегрузок по току:";"Макс. ток нагрузки, А:";"Расстояние срабатывания, мм:";"Минимальный зазор между объектами, мм:";Подключение:;Применение:;"Источник излучения:";"Кодировка разъема:";"Ширина этикетки Min, мм:";"Зазор между этикетками Min, мм:";Настройка:;"Класс безопасности систем управления SIL:";"Материал кабеля:";"Электрическое исполнение:";"Минимальный размер объекта, мм:";"Расположение разъема:";"Коммуникационный интерфейс:";"Температура окружающей среды, °C:";Дисплей:;"Класс защиты:";"Класс лазера:";"Защита от перегрузки:";"Диаметр светового пятна Max, мм:";"Регулировка чувствительности:";Модель:;Исполнение:;"Индикация срабатывания:";Модификация:;"Материал линзы:";"Максимальная скорость ленты, м/мин:";"Количество лучей:";"Количество проводов и сечение:";"Глубина установки (со стороны), мм:";"наличие в общем:";"Напряжение питания DC, В:";"(при использовании вне взрывоопасной зоны)";"5-30 DC";Кабель;IP67;-40…+100;NAMUR;NC;3000;"Длина стороны 1, мм:";"Длина стороны 2, мм:";"Потребляемая мощность, Вт:";5000;"(IEC 60825-1 : 2007";"Длина кабеля, мм:";"Активная зона обнаружения, мм:";Монтаж:;"Светодиодный индикатор:";"Время срабатывания, мс:";"Ширина щели:";Питание:;"Способ подключения:";"Тип излучателя:";"Функция на выходе:";"Частота переключений:";"Размеры рамки, мм:";"Глубина щели:";"Оптическая особенность:";"Наименование элемента:";"s:151:""В комплектацию не входят: ответные разъемы для подключения в систему и аксессуары.";стекло;DC;Разъем;"оптический щелевой датчик для контроля кромки и ширины объекта";LED;"инфракрасный свет";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422";"400 Гц";"Количество оптических осей:";"PNP NO, 4.. 20 мА, 0.. 10 В, RS 232, RS 422, RS 485";"50 Гц";"Минимальный размер распознаваемого объекта:";"Размер метки, мм:";"Количество жил:";"Оптическая ось:";"Точность, мм:";"Рабочий диапазон, мм:";"Аналоговый выход по напряжению, В:";"Ширина активной области:"
"Щелевой датчик Banner SLM50B6Q";"47 500 руб.";"Число контактов, pin:;3;Серия:;SLM;Время отклика, мс:;0,5;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Глубина щели, мм:;60,8;Минимальный диаметр объекта, мм:;0,6;Материал корпуса:;Никелированный цинк;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;50";https://sensoren.ru/product/shchelevoy_datchik_banner_slm50b6q/;SLM;;;60,8;;;"Никелированный цинк";"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;50;3;;60;-20;;;;;IP67;0,6;;;-20…+60;;;0,5;;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SLM10N6Q";"47 500 руб.";"Число контактов, pin:;3;Серия:;SLM;Время отклика, мс:;0,5;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Глубина щели, мм:;60,8;Минимальный диаметр объекта, мм:;0,3;Материал корпуса:;Никелированный цинк;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;10";https://sensoren.ru/product/shchelevoy_datchik_banner_slm10n6q/;SLM;;;60,8;;;"Никелированный цинк";"12-24 DC";;;"Разъем M8";"Оптический вилочный";NPN;;"на свет/на затемнение";;10;3;;60;-20;;;;;IP67;0,3;;;-20…+60;;;0,5;;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SL10VB6VY";"39 200 руб.";"Число контактов, pin:;5;Серия:;SL10;Время отклика, мс:;0,3;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-40;Глубина щели, мм:;45;Минимальный диаметр объекта, мм:;2;Длина кабеля, м:;2;Материал корпуса:;Термопластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-40…+70;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;10";https://sensoren.ru/product/shchelevoy_datchik_banner_sl10vb6vy/;SL10;;;45;;;Термопластик;"12-24 DC";;;Кабель;"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;10;5;;70;-40;;;;;IP67;2;;;-40…+70;;;0,3;2;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SL10VB6VQ";"39 200 руб.";"Число контактов, pin:;5;Серия:;SL10;Время отклика, мс:;1;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-40;Глубина щели, мм:;45;Минимальный диаметр объекта, мм:;2;Материал корпуса:;Термопластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Разъем M12;Степень защиты:;IP67;Температура эксплуатации, °C:;-40…+70;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;10";https://sensoren.ru/product/shchelevoy_datchik_banner_sl10vb6vq/;SL10;;;45;;;Термопластик;"12-24 DC";;;"Разъем M12";"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;10;5;;70;-40;;;;;IP67;2;;;-40…+70;;;1;;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GL5-J/46a/59/115e";"2 714 руб.";"Серия:;GL5;Минимальный диаметр объекта, мм:;1,8;Длина кабеля, м:;0,15;Напряжение питания, В:;5-30 DC;Подключение:;3 pin;Соединение:;Кабель с разъемом;Степень защиты:;IP50;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на затемнение;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl5_j_46a_59_115e/;GL5;;;;;;;"5-30 DC";;;"Кабель с разъемом";"Оптический вилочный";PNP;"инфракрасный свет";"на затемнение";;5;;;;;;;;;IP50;1,8;;;;;;;0,15;;;;;;"3 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GL220-LAS/32/40a/98a";"74 818 руб.";"Серия:;GL220;Минимальный диаметр объекта, мм:;0,05;Напряжение питания, В:;12-24 DC;Подключение:;3 pin;Соединение:;Разъем M8;Степень защиты:;IP65;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;220";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl220_las_32_40a_98a/;GL220;;;;;;;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP;красный;"на свет/на затемнение";;220;;;;;;;;;IP65;0,05;;;;;;;;;;;;;"3 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GL121-RT/30/40a/98a";"42 556 руб.";"Серия:;GL121;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;295;Глубина щели, мм:;60;Минимальный диаметр объекта, мм:;0,3;Напряжение питания, В:;12-24 DC;Подключение:;3 pin;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;3000;Ширина щели, мм:;121";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl121_rt_30_40a_98a/;GL121;;;60;;;;"12-24 DC";;;"Разъем M8";"Оптический вилочный";NPN;красный;"на свет/на затемнение";3000;121;;;60;-20;;295;;;IP67;0,3;;;-20…+60;;;;;;;;;;"3 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WF50-60B416";"36 390 руб.";"Страна происхождения:;Франция;Серия:;WF;Источник излучения:;Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x80x74;Глубина щели, мм:;59;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Распознавание при очень высокой скорости объекта;Подключение:;4 pin;Применение:;Обнаружение краёв, отверстий и объектов на высокой скоросте;Соединение:;Разъем M8;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;50";https://sensoren.ru/product/shchelevoy_datchik_sick_wf50_60b416/;WF;10x80x74;;59;;;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;50;;Франция;60;-20;;;;;IP65;0,2;;"Распознавание при очень высокой скорости объекта";-20…+60;;;;;;;;;;"4 pin";"Обнаружение краёв, отверстий и объектов на высокой скоросте";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Wenglor P1HJ002";"127 500 руб.";"Класс защиты:;3;Число контактов, pin:;4;Класс лазера:;1;Источник излучения:;Лазер;Материал линзы:;Стекло;Время отклика, мс:;0,05;Защита от перегрузки:;да;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-25;Глубина щели, мм:;84,5;Минимальный диаметр объекта, мм:;0,04;Защита от короткого замыкания:;да;Защита от переполюсовки:;да;Диаметр светового пятна Max, мм:;0,6;Материал корпуса:;Нержавеющая сталь;Напряжение питания, В:;12-24 DC;Особенности:;Надежное обнаружение самых мелких объектов;Соединение:;Разъем M8;Степень защиты:;IP69K;Температура эксплуатации, °C:;-25…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;220";https://sensoren.ru/product/shchelevoy_datchik_wenglor_p1hj002/;;;;84,5;;;"Нержавеющая сталь";"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP;красный;"на свет/на затемнение";10000;220;4;;60;-25;;;да;;IP69K;0,04;;"Надежное обнаружение самых мелких объектов";-25…+60;;;0,05;;да;;;;;;;Лазер;;;;;;;;;;;;;3;1;да;0,6;;;;;;Стекло;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SLM220B6";"55 100 руб.";"Число контактов, pin:;4;Серия:;SLM;Время отклика, мс:;0,5;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Глубина щели, мм:;120,7;Минимальный диаметр объекта, мм:;1;Длина кабеля, м:;2;Материал корпуса:;Никелированный цинк;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;220";https://sensoren.ru/product/shchelevoy_datchik_banner_slm220b6/;SLM;;;120,7;;;"Никелированный цинк";"12-24 DC";;;Кабель;"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;220;4;;60;-20;;;;;IP67;1;;;-20…+60;;;0,5;2;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SLE10B6VY";"43 000 руб.";"Число контактов, pin:;5;Серия:;SLE10;Время отклика, мс:;0,15;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-20;Глубина щели, мм:;45;Минимальный диаметр объекта, мм:;1;Длина кабеля, м:;2;Материал корпуса:;Термопластик;Напряжение питания, В:;12-24 DC;Настройка:;Кнопка обучения;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+70;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;10";https://sensoren.ru/product/shchelevoy_datchik_banner_sle10b6vy/;SLE10;;;45;;;Термопластик;"12-24 DC";;;Кабель;"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;10;5;;70;-20;;;;;IP67;1;;;-20…+70;;;0,15;2;;;;;;;;;;;;"Кнопка обучения";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GLP30-RT/40b/103/156";"35 596 руб.";"Серия:;GLP30;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;20;Глубина щели, мм:;34;Минимальный диаметр объекта, мм:;0,3;Напряжение питания, В:;12-24 DC;Подключение:;3 pin;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_glp30_rt_40b_103_156/;GLP30;;;34;;;;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP;красный;"на свет/на затемнение";2000;30;;;60;-20;;20;;;IP67;0,3;;;-20…+60;;;;;;;;;;"3 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GL10-IR/32/40a/98a";"35 667 руб.";"Серия:;GL10;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;20;Глубина щели, мм:;17;Минимальный диаметр объекта, мм:;0,3;Напряжение питания, В:;12-24 DC;Подключение:;3 pin;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;10";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl10_ir_32_40a_98a/;GL10;;;17;;;;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP;"инфракрасный свет";"на свет/на затемнение";2000;10;;;60;-20;;20;;;IP67;0,3;;;-20…+60;;;;;;;;;;"3 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Индуктивный щелевой датчик Pepperl Fuchs SJ2-SN-Y89620";"14 635 руб.";"Серия:;SJ;Класс безопасности систем управления SIL:;SIL 3;Температура эксплуатации Max, °C:;100;Температура эксплуатации Min, °C:;-40;Вес, грамм:;2,5;Длина кабеля, м:;0,02;Корпус:;Щелевой;Материал кабеля:;LiY;Материал корпуса:;Пластик;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-40…+100;Тип выходного сигнала:;NAMUR;Функция переключения:;NC;Частота переключения, Гц:;5000;Ширина щели, мм:;2;Электрическое исполнение:;2-х проводный DC";https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj2_sn_y89620/;SJ;;;;;Щелевой;Пластик;;;;Кабель;;NAMUR;;NC;5000;2;;;100;-40;;2,5;;;IP67;;;;-40…+100;;;;0,02;;;;;;;;;;;;;"SIL 3";LiY;"2-х проводный DC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WFL50-95B416";"56 100 руб.";"Класс лазера:;I;Страна происхождения:;Франция;Серия:;WFL;Источник излучения:;Лазер;Температура эксплуатации Max, °C:;50;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x88,5x110;Глубина щели, мм:;95;Минимальный диаметр объекта, мм:;0,05;Длина волны, нм:;670;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Высокая точность и очень короткое время отклика;Подключение:;4 pin;Применение:;Распознавание мелких и прозрачных объектов;Соединение:;Разъем M8;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+50;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;50";https://sensoren.ru/product/shchelevoy_datchik_sick_wfl50_95b416/;WFL;10x88,5x110;;95;;;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;красный;"на свет/на затемнение";10000;50;;Франция;50;-20;;;;;IP65;0,05;670;"Высокая точность и очень короткое время отклика";-20…+50;;;;;;;;;;"4 pin";"Распознавание мелких и прозрачных объектов";Лазер;;;;;;;;;;;;;;I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WF2-95B410";"31 840 руб.";"Страна происхождения:;Франция;Серия:;WF;Источник излучения:;Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x32x110;Глубина щели, мм:;95;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Распознавание при очень высокой скорости объекта;Подключение:;4 pin;Применение:;Обнаружение краёв, отверстий и объектов на высокой скоросте;Соединение:;Разъем M8;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;2";https://sensoren.ru/product/shchelevoy_datchik_sick_wf2_95b410/;WF;10x32x110;;95;;;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;2;;Франция;60;-20;;;;;IP65;0,2;;"Распознавание при очень высокой скорости объекта";-20…+60;;;;;;;;;;"4 pin";"Обнаружение краёв, отверстий и объектов на высокой скоросте";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик SICK WF15-60B410";"28 810 руб.";"Страна происхождения:;Франция;Серия:;WF;Источник излучения:;Светодиод;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Размер прямоугольного корпуса, мм:;10x45x74;Глубина щели, мм:;59;Минимальный диаметр объекта, мм:;0,2;Материал корпуса:;Алюминий;Напряжение питания, В:;12-24 DC;Особенности:;Распознавание при очень высокой скорости объекта;Подключение:;4 pin;Применение:;Обнаружение краёв, отверстий и объектов на высокой скоросте;Соединение:;Разъем M8;Степень защиты:;IP65;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;10000;Ширина щели, мм:;15";https://sensoren.ru/product/shchelevoy_datchik_sick_wf15_60b410/;WF;10x45x74;;59;;;Алюминий;"12-24 DC";;;"Разъем M8";"Оптический вилочный";PNP/NPN;"инфракрасный свет";"на свет/на затемнение";10000;15;;Франция;60;-20;;;;;IP65;0,2;;"Распознавание при очень высокой скорости объекта";-20…+60;;;;;;;;;;"4 pin";"Обнаружение краёв, отверстий и объектов на высокой скоросте";Светодиод;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик LANBAO PU05S-TGPR-U";"1 300 руб.";"Потребление тока, мА:;15;Страна происхождения:;Китай;Серия:;PU;Минимальный размер объекта, мм:;1,2x0,8;Размер прямоугольного корпуса, мм:;16x13,4x6;Сертификат соответствия:;CE+EAC;Вес, грамм:;15;Глубина щели, мм:;6;Длина волны, нм:;855;Длина кабеля, м:;1;Защита от короткого замыкания:;да;Индикация:;есть;Макс. ток нагрузки, А:;0,05;Материал корпуса:;PBT;Напряжение питания, В:;5-30 DC;Расстояние срабатывания, мм:;5;Соединение:;Кабель;Степень защиты:;IP65;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;1000;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05s_tgpr_u/;PU;16x13,4x6;;6;;;PBT;"5-30 DC";;;Кабель;;PNP;"инфракрасный свет";"на свет/на затемнение";1000;5;;Китай;;;CE+EAC;15;;есть;IP65;;855;;;15;;;1;да;;0,05;5;;;;;;;;;;;;1,2x0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SLE10B6V W/30";"53 000 руб.";"Число контактов, pin:;5;Серия:;SLE10;Время отклика, мс:;0,5;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-20;Глубина щели, мм:;45;Минимальный диаметр объекта, мм:;1;Длина кабеля, м:;9;Материал корпуса:;Термопластик;Напряжение питания, В:;12-24 DC;Настройка:;Кнопка обучения;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+70;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;10";https://sensoren.ru/product/shchelevoy_datchik_banner_sle10b6v_w_30/;SLE10;;;45;;;Термопластик;"12-24 DC";;;Кабель;"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;10;5;;70;-20;;;;;IP67;1;;;-20…+70;;;0,5;9;;;;;;;;;;;;"Кнопка обучения";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Banner SL30VB6V";"39 200 руб.";"Число контактов, pin:;5;Серия:;SL30;Время отклика, мс:;1;Температура эксплуатации Max, °C:;70;Температура эксплуатации Min, °C:;-40;Глубина щели, мм:;45;Минимальный диаметр объекта, мм:;2;Длина кабеля, м:;2;Материал корпуса:;Термопластик;Напряжение питания, В:;12-24 DC;Настройка:;Потенциометр;Соединение:;Кабель;Степень защиты:;IP67;Температура эксплуатации, °C:;-40…+70;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP/NPN;Функция переключения:;на свет/на затемнение;Ширина щели, мм:;30";https://sensoren.ru/product/shchelevoy_datchik_banner_sl30vb6v/;SL30;;;45;;;Термопластик;"12-24 DC";;;Кабель;"Оптический вилочный";PNP/NPN;;"на свет/на затемнение";;30;5;;70;-40;;;;;IP67;2;;;-40…+70;;;1;2;;;;;;;;;;;;Потенциометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GLP80-RT/40b/102/123/143";"39 222 руб.";"Серия:;GLP80;Температура эксплуатации Max, °C:;60;Температура эксплуатации Min, °C:;-20;Вес, грамм:;35;Глубина щели, мм:;54;Минимальный диаметр объекта, мм:;0,5;Напряжение питания, В:;12-24 DC;Подключение:;4 pin;Соединение:;Разъем M8;Степень защиты:;IP67;Температура эксплуатации, °C:;-20…+60;Тип:;Оптический вилочный;Тип выходного сигнала:;NPN;Тип света:;красный;Функция переключения:;на свет/на затемнение;Частота переключения, Гц:;2000;Ширина щели, мм:;80";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_glp80_rt_40b_102_123_143/;GLP80;;;54;;;;"12-24 DC";;;"Разъем M8";"Оптический вилочный";NPN;красный;"на свет/на затемнение";2000;80;;;60;-20;;35;;;IP67;0,5;;;-20…+60;;;;;;;;;;"4 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Щелевой датчик Pepperl Fuchs GL5-Y/25/46a/115e";"2 714 руб.";"Серия:;GL5;Минимальный диаметр объекта, мм:;1,8;Длина кабеля, м:;0,15;Напряжение питания, В:;5-30 DC;Подключение:;3 pin;Соединение:;Кабель с разъемом;Степень защиты:;IP50;Тип:;Оптический вилочный;Тип выходного сигнала:;PNP;Тип света:;инфракрасный свет;Функция переключения:;на свет;Ширина щели, мм:;5";https://sensoren.ru/product/shchelevoy_datchik_pepperl_fuchs_gl5_y_25_46a_115e/;GL5;;;;;;;"5-30 DC";;;"Кабель с разъемом";"Оптический вилочный";PNP;"инфракрасный свет";"на свет";;5;;;;;;;;;IP50;1,8;;;;;;;0,15;;;;;;"3 pin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
