name;price;info;link;is_available;"Тип корпуса";Приемник/Излучатель;"Материал корпуса";"Зона чувствительности, м";"Вид подключения";"Температура окружающей среды";"Длина кабеля, м";Особенности;"Схема выхода";"Функция выхода";"Частота переключения, Гц";Тип;"Направление оптической оси";"Зона чувствительности, мм";"Вид излучения";"Материал линз";"Тип переключения";"Обозначение резьбы";"Максимальное расстояние срабатывания, мм";"Температура объекта воздействия";"Угол поля зрения";"Материал кабеля";"Цвет излучения";"Степень защиты корпуса";"Функция защиты";"Количество лучей";"Разрешение, мм";"Высота контролируемой зоны, мм";"Время срабатывания, мс";"Защита коммутационного элемента";"Рабочее напряжение, В";"Аналоговый выход"
"Оптический датчик
ВБО-М18У-58Р-5113-СА";"11 617 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-5113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";Угловое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-5123-СА";"11 617 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-5123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";Угловое;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-7113-СА";"11 975 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: PNP; Зона чувствительности, м: 0,05 - 2; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-7113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,05 - 2";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-М18У-58Р-8123-СА";"11 975 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Направление оптической оси: Угловое; Схема выхода: NPN; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-m18u-58r-8123-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";"0,1 - 4";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";Угловое;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50Р-1194-СА";"16 208 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+70 °С; Вид излучения : Невидимый инфракрасный; Материал линз: Поликарбонат";https://sensor-com.ru/sensors/vbo-u18-50r-1194-sa/;"В наличии";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";Поликарбонат;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50Р-9194-СА";"12 385 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, м: 0 - 16; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50r-9194-sa/;"В наличии";Прямоугольный;Приемник;Полиамид;"0 - 16";"Разъем M12 ? 1";"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Барьерный оптический";;;;;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-1194-СА";"16 208 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С; Вид излучения : Невидимый инфракрасный; Материал линз: Поликарбонат";https://sensor-com.ru/sensors/vbo-u18-50u-1194-sa/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";Поликарбонат;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-1373-ЛА";"16 208 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С; Вид излучения : Невидимый инфракрасный; Материал линз: Поликарбонат";https://sensor-com.ru/sensors/vbo-u18-50u-1373-la/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+70 °С";;;реле;НО/НЗ;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";Поликарбонат;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-5194-СА";"16 282 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С; Вид излучения : Невидимый инфракрасный; Материал линз: Поликарбонат";https://sensor-com.ru/sensors/vbo-u18-50u-5194-sa/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";Поликарбонат;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-5373-ЛА";"14 704 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С; Вид излучения : Невидимый инфракрасный; Материал линз: Поликарбонат";https://sensor-com.ru/sensors/vbo-u18-50u-5373-la/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+70 °С";;;реле;НО/НЗ;;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";Поликарбонат;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-8373-ЛА";"15 397 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50u-8373-la/;"В наличии";Прямоугольный;;Полиамид;"0,1 - 4";Кабель;"-25…+70 °С";;;реле;НО/НЗ;;"Рефлекторный оптический";;;;;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-9100-Н";"12 167 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Излучатель; Материал корпуса: Полиамид; Зона чувствительности, м: 0 - 16; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50u-9100-n/;"В наличии";Прямоугольный;Излучатель;Полиамид;"0 - 16";Кабель;"-25…+70 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У18-50У-9194-СА";"12 720 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: PNP и NPN; Зона чувствительности, м: 0 - 16; Функция выхода: НО/НЗ Прогр.; Тип переключения: Темно/Светло; Вид подключения: Кабель; Температура окружающей среды: -25…+70 °С";https://sensor-com.ru/sensors/vbo-u18-50u-9194-sa/;"В наличии";Прямоугольный;Приемник;Полиамид;"0 - 16";Кабель;"-25…+70 °С";;;"PNP и NPN";"НО/НЗ Прогр.";;"Барьерный оптический";;;;;Темно/Светло;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-1111-СА";"10 872 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80r-1111-sa/;"В наличии";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-1113-СА";"10 518 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80r-1113-sa/;"В наличии";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-2111-СА";"12 521 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-2111-sa/;"В наличии";Прямоугольный;;Полиамид;"0,5 - 8";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-2113-СА";"12 397 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-2113-sa/;"В наличии";Прямоугольный;;Полиамид;"0,5 - 8";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-5111-СА";"8 557 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80r-5111-sa/;"В наличии";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО;;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-5113-СА";"9 961 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80r-5113-sa/;"В наличии";Прямоугольный;;Полиамид;;"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-7113-С";"10 322 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 2; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-7113-s/;"В наличии";Прямоугольный;;Полиамид;"0,1 - 2";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-7123-С";"9 223 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, м: 0,1 - 2; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-7123-s/;"В наличии";Прямоугольный;;Полиамид;"0,1 - 2";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-9100-Н";"8 639 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Излучатель; Материал корпуса: Полиамид; Зона чувствительности, м: 0 - 16; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-9100-n/;"В наличии";Прямоугольный;Излучатель;Полиамид;"0 - 16";"Разъем M12 ? 1";"-25…+80 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-9113-С";"8 974 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0 - 16; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-9113-s/;"В наличии";Прямоугольный;Приемник;Полиамид;"0 - 16";"Разъем M12 ? 1";"-25…+80 °С";;;PNP;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80Р-9123-С";"8 710 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, м: 0 - 16; Функция выхода: НО/НЗ; Вид подключения: Разъем M12 ? 1; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80r-9123-s/;"В наличии";Прямоугольный;Приемник;Полиамид;"0 - 16";"Разъем M12 ? 1";"-25…+80 °С";;;NPN;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-1113-СА";"10 034 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-1113-sa/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-1123-СА";"10 442 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-1123-sa/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-1273-ЛА";"11 537 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, мм: 100 - 1000; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-1273-la/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+80 °С";;;реле;НО/НЗ;;"Диффузный оптический";;"100 - 1000";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-2111-СА";"11 954 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/datchik-vbo-u25-80u-2111-sa/;"В наличии";Прямоугольный;;Полиамид;"0,5 - 8";Кабель;"-25…+80 °С";;;PNP;НО;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-2123-СА";"12 226 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: NPN; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-2123-sa/;"В наличии";Прямоугольный;;Полиамид;"0,5 - 8";Кабель;"-25…+80 °С";;;NPN;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-2273-ЛА";"13 664 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-2273-la/;"В наличии";Прямоугольный;;Полиамид;"0,5 - 8";Кабель;"-25…+80 °С";;;реле;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-2273-ЛГ";"18 347 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, м: 0,5 - 8; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Особенности: Регулировка задержки срабатывания/отпускания";https://sensor-com.ru/sensors/vbo-u25-80u-2273-lg/;"В наличии";Прямоугольный;;Полиамид;"0,5 - 8";Кабель;"-25…+80 °С";;"Регулировка задержки срабатывания/отпускания";реле;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-5111-СА";"9 505 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-5111-sa/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+80 °С";;;PNP;НО;;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-5113-СА";"9 569 ?
Цена с НДС 20%";"Тип: Диффузный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, мм: 10 - 400; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Вид излучения : Невидимый инфракрасный; Материал линз: ПММА";https://sensor-com.ru/sensors/vbo-u25-80u-5113-sa/;"В наличии";Прямоугольный;;Полиамид;;Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Диффузный оптический";;"10 - 400";"Невидимый инфракрасный";ПММА;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-8113-СА";"10 601 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-8113-sa/;"В наличии";Прямоугольный;;Полиамид;"0,1 - 4";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-8273-ЛА";"11 954 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-8273-la/;"В наличии";Прямоугольный;;Полиамид;"0,1 - 4";Кабель;"-25…+80 °С";;;реле;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-8273-ЛГ";"13 573 ?
Цена с НДС 20%";"Тип: Рефлекторный оптический; Тип корпуса: Прямоугольный; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, м: 0,1 - 4; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С; Особенности: Регулировка задержки срабатывания/отпускания";https://sensor-com.ru/sensors/vbo-u25-80u-8273-lg/;"В наличии";Прямоугольный;;Полиамид;"0,1 - 4";Кабель;"-25…+80 °С";;"Регулировка задержки срабатывания/отпускания";реле;НО/НЗ;;"Рефлекторный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-9100-Н";"5 562 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Излучатель; Материал корпуса: Полиамид; Зона чувствительности, м: 0 - 16; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-9100-n/;"В наличии";Прямоугольный;Излучатель;Полиамид;"0 - 16";Кабель;"-25…+80 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-9113-С";"6 655 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: PNP; Зона чувствительности, м: 0 - 16; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-9113-s/;"В наличии";Прямоугольный;Приемник;Полиамид;"0 - 16";Кабель;"-25…+80 °С";;;PNP;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-9200-Н";"7 207 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Излучатель; Материал корпуса: Полиамид; Зона чувствительности, м: 0 - 16; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-9200-n/;"В наличии";Прямоугольный;Излучатель;Полиамид;"0 - 16";Кабель;"-25…+80 °С";;;;;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ВБО-У25-80У-9273-Л";"8 136 ?
Цена с НДС 20%";"Тип: Барьерный оптический; Тип корпуса: Прямоугольный; Приемник/Излучатель: Приемник; Материал корпуса: Полиамид; Схема выхода: реле; Зона чувствительности, м: 0 - 16; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80 °С";https://sensor-com.ru/sensors/vbo-u25-80u-9273-l/;"В наличии";Прямоугольный;Приемник;Полиамид;"0 - 16";Кабель;"-25…+80 °С";;;реле;НО/НЗ;;"Барьерный оптический";;;;;;;;;;;;;;;;;;;;
"Оптический датчик
ДОГ-М18-76В-1113-СА";"19 338 ?
Цена с НДС 20%";"Тип корпуса: Цилиндрический с резьбой; Материал корпуса: Латунь никелированная; Обозначение резьбы: M18 x 1; Максимальное расстояние срабатывания, мм: 5000; Схема выхода: PNP; Температура объекта воздействия: 700-1100°С; Угол поля зрения: 10°; Функция выхода: НО/НЗ; Вид подключения: Кабель; Температура окружающей среды: -25…+80°С; Частота переключения, Гц: 30; Материал кабеля: ПВС";https://sensor-com.ru/sensors/dog-m18-76v-1113-sa/;"В наличии";"Цилиндрический с резьбой";;"Латунь никелированная";;Кабель;-25…+80°С;;;PNP;НО/НЗ;30;;;;;;;"M18 x 1";5000;700-1100°С;10°;ПВС;;;;;;;;;;
